In_Apple_Serial_Nr	Item_Name	Item_Value	Item_Modifier
FHLZK3QBMLTN	Commodity_Cd 	Watch	Header
FHLZK3QBMLTN	Eng_Project_Cd 	N144B	Header
FHLZK3QBMLTN	Business Category	AC	Header
FHLZK3QBMLTN	New Buy	Y	Header
FHLZK3QBMLTN	L2_Vendor_Cd 	FQW	Header
FHLZK3QBMLTN	Input_TS	10/17/2019	Header
FHLZK3QBMLTN	Output_TS	10/18/2019	Header
FHLZK3QBMLTN	In_Apple_Part_Id 	A2093	Header
FHLZK3QBMLTN	SVC_FATP_yield	Y	Header
FHLZK3QBMLTN	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK3QBMLTN	ALL TEST PASSED	Y	T0C0R0
FHLZK4E3MLTN	Commodity_Cd 	Watch	Header
FHLZK4E3MLTN	Eng_Project_Cd 	N144B	Header
FHLZK4E3MLTN	Business Category	AC	Header
FHLZK4E3MLTN	New Buy	Y	Header
FHLZK4E3MLTN	L2_Vendor_Cd 	FQW	Header
FHLZK4E3MLTN	Input_TS	10/17/2019	Header
FHLZK4E3MLTN	Output_TS	10/18/2019	Header
FHLZK4E3MLTN	In_Apple_Part_Id 	A2093	Header
FHLZK4E3MLTN	SVC_FATP_yield	Y	Header
FHLZK4E3MLTN	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK4E3MLTN	ALL TEST PASSED	Y	T0C0R0
FHLZK4GJMLTN	Commodity_Cd 	Watch	Header
FHLZK4GJMLTN	Eng_Project_Cd 	N144B	Header
FHLZK4GJMLTN	Business Category	AC	Header
FHLZK4GJMLTN	New Buy	Y	Header
FHLZK4GJMLTN	L2_Vendor_Cd 	FQW	Header
FHLZK4GJMLTN	Input_TS	10/17/2019	Header
FHLZK4GJMLTN	Output_TS	10/19/2019	Header
FHLZK4GJMLTN	In_Apple_Part_Id 	A2093	Header
FHLZK4GJMLTN	SVC_FATP_yield	Y	Header
FHLZK4GJMLTN	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK4GJMLTN	ALL TEST PASSED	Y	T0C0R0
FHLZK4JJMLTN	Commodity_Cd 	Watch	Header
